Additive,Type,Regulatory Status,Uses,CFR,,,,
"Leather meal, hydrolyzed",FEED,REG,Feed additive,573.54,,,,
"Lecithin, hydroxylated lecithin",MISC,GRAS/FS,Miscellaneous,"184.1400, 163, 136, 166, 133, 582, 173.340, 172.814",,,,
"Lemon, lemon peel",ESO,GRAS,Essential oil,182.2,,,,
Lemon balm (See Balm),ESO,GRAS,Essential oil,182.2,,,,
Lemon grass,ESO,GRAS,Essential oil,182.2,,,,
Lemon-verbena,FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
L-Leucine,NUTR/DS,REG,"Nutrient, dietary supplement",172.32,,,,
Levamisole hydrochloride,VET/FEED,REG,"Veterinary drug, feed additive","556.350, 558.315, 520.1242, 524.900, 558.254, 522.1244",,,,
"Licorice and derivatives (ammoniated glycyrrhizin, glycyrrhiza)",FLAV,GRAS,Flavoring agent,184.1408,,,,
"Lignin sulfonate, ammonium, calcium, magnesium, sodium includes lignin from Abaca",FEED,REG,Feed additive,573.6,,,,
Lime (citrus),ESO,GRAS,Essential oil,182.2,,,,
"Limestone, Ground",GRAS,GRAS,,184.1409,,,,
Linaloe wood,FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
Linear undecylbenzenesulfonic acid,MISC,REG,Miscellaneous,173.315,,,,
Lincomycin hydrochloride,VET/FEED,REG,"Veterinary drug, feed additive","556.360, 558.58, 558.145, 558.105, 558.195, 558.355, 558.680, 558.511, 558.515, 558.530, 558.530, 520.1263b/c, 558.325, 522.1260",,,,
Linden flowers,SP/ESO,GRAS,"Spice, essential oil",182.2,,,,
Linden leaves,FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
Linoleic acid,NUTR/DS,GRAS,"Nutrient, dietary supplement","182.5065, 184.1065",,,,
Liver-stomach concentrate w/ intrinsic factor complex,DS,ILL,Dietary supplement,250.201,,,,
Locust bean,ESO,GRAS,Essential oil,182.2,,,,
Locust (carob) bean gum,STAB,GRAS/FS,Stabilizer,"184.1343, 133, 135, 150, 169",,,,
Lovage,FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
Lungmoss,FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
Lupulin,ESO,GRAS,Essential oil,182.2,,,,
L-Lysine,NUTR/DS,REG,"Nutrient, dietary supplement",172.32,,,,
Mace,SP/ESO,GRAS,"Spice, essential oil",182.1,,,,
"Madurimicin ammonium aka ""CYGRO""","FEED, VET",REG,"Feed additive, veterinary drug","558.340, 556.735, 556.375",,,,
Magnesium carbonate,B&N,GRAS/FS,"Buffer, neutralizing agent","184.1425, 163, 137, 133, 155, 135, 582",,,,
Magnesium chloride,B&N,GRAS/FS,"Buffer, neutralizing agent","172.560, 184.1426",,,,
Magnesium cyclamate,NNS,ILL,Non-nutritive sweetener,189.135,,,,
Magnesium hydroxide,MISC,GRAS/FS,Miscellaneous,"184.1428, 155, 582",,,,
Magnesium oxide,MISC,GRAS/FS,Miscellaneous,"184.1431, 163, 155, 135, 182.5431, 582",,,,
"Magnesium phosphate (di-, tri- basic)",NUTR/DS,GRAS,"Nutrient, dietary supplement","182.5434, 184.1434",,,,
Magnesium silicate,AC,GRAS/FS,Anticaking agent,182.2437,,,,
Magnesium stearate,MISC,GRAS,Miscellaneous,"184.1440, 173.340, 172.863",,,,
Magnesium sulfate,NUTR/DS,GRAS,"Nutrient, dietary supplement","182.5443, 184.1443",,,,
Maidenhair fern,FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
"Malic acid, L-malic acid",MISC,GRAS/FS,Miscellaneous,"184.1069, 131.144, 146.113, 150, 169, 582",,,,
Malt (extract),ESO,GRAS,Essential oil,,,,,
Malt syrup (malt extract),FLAV,GRAS,Flavoring agent,"184.1445, 133",,,,
Maltodextrin,GRAS,GRAS,,184.1444,,,,
Maltose,NUTRS,FS,Nutritive sweetener,133,,,,
Mandarin oil,ESO,GRAS,Essential oil,182.2,,,,
Manganese bacitracin,FEED,REG,Feed additive,"See Bacitracin, manganese",,,,
Manganese chloride,DS/NUTR,GRAS,"Dietary supplement, nutrient","182.5446, 184.1446",,,,
Manganese citrate,DS/NUTR,GRAS,"Dietary supplement, nutrient","182.5449, 184.1449",,,,
Manganese gluconate,DS/NUTR,GRAS,"Dietary supplement, nutrient","182.5452, 184.1452",,,,
Manganese glycerophosphate,DS/NUTR,GRAS,"Dietary supplement, nutrient","182.5455, 182.8455",,,,
Manganese hypophosphite,DS/NUTR,GRAS,"Dietary supplement, nutrient",182.8458,,,,
Manganese sulfate,DS/NUTR,GRAS,"Dietary supplement, nutrient","182.5461, 184.1461",,,,
"Manganese salts (acetate, carbonate, chloride, soluble citrate, gluconate, ortho-phosphate, dibasic phosphate, sulfate, oxide)",NUTR/DS,GRAS,"Nutrient, dietary supplement",582.8,,,,
Manganous oxide,DS/NUTR,GRAS,"Dietary supplement, nutrient",182.5464,,,,
Mannitol,NUTR,GRAS/INTERIM,Nutritive sweetener,180.25,,,,
"Maple, mountain",FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
"Marigold, pot",SP,GRAS,Spice,182.1,,,,
"Marjoram, pot",SP,GRAS,Spice,182.1,,,,
"Marjoram, sweet",SP/ESO,GRAS,"Spice, essential oil","182.10, 182.20",,,,
Massaaranduba balata,MISC,REG,Miscellaneous,172.615,,,,
Massaaranduba chocolate,MISC,REG,Miscellaneous,172.615,,,,
Materials used as fixing agents in the immobilization of enzyme preparations,,,,173.357,,,,
Mate,ESO,GRAS,Essential oil,182.2,,,,
Melengestrol acetate,FEED,REG,Feed additive,"558.342, 558.542",,,,
Melissa (see Balm),ESO,GRAS,Essential oil,182.2,,,,
Menadione,DS,PD,Dietary supplement,,,,,
"Menadione dimethylphyrimdinol bisulfite (2-hydroxy-4, 6- dimethyl pyrimidinol salt of menadione)",FEED,REG,Feed additive,573.62,,,,
Menhaden oil (hydrogenated and partially hydrogenated),NUTR,GRAS,Nutrient,184.1472,,,,
Menthol,ESO,GRAS,Essential oil,182.2,,,,
Menthyl acetate,ESO,GRAS,Essential oil,182.2,,,,
"N-(Mercaptomethyl)phthalimide S-(O,O-dimethyl phosphorodithioate)",VET/PEST,REG,"Veterinary drug, pesticide",524.1742,,,,
Methacrylic acid-divinyl benzene copolymer,MISC,REG,Miscellaneous,172.775,,,,
Methionine (L- & -DL forms),NUTR,REG,Nutrient,172.32,,,,
Methionine hydroxy analog and its calcium salts,NUTR/DS,GRAS,"Nutrient, dietary supplement",582.5477,,,,
Methyl alcohol residues,SOLV,REG,Solvent,"173.250, 172.560",,,,
Methylcellulose (USP methylcellulose),MISC,GRAS/FS,Miscellaneous,"182.1480, 150, 526.820",,,,
Methylene chloride,SOLV,REG,Solvent,"173.255, 172.560",,,,
Methyl ester of rosin,MISC,REG,Miscellaneous,172.615,,,,
Methyl esters of fatty acids produced from edible fats & oils,MISC,REG,Miscellaneous,172.225,,,,
Methyl esters of higher fatty acids,FEED,REG,Feed additive,573.64,,,,
Methyl ethyl cellulose,MISC,REG,Miscellaneous,172.872,,,,
Methyl glucoside - coconut oil ester,MISC,REG,Miscellaneous,"172.816, 573.660",,,,
Methylparaben (methyl-p-hydroxybenzoate),PRES,GRAS/FS,Preservative,"184.1490, 150",,,,
Methyl prednisolone,VET,REG,Veterinary drug,556.4,,,,
Metoserpate hydrochloride,VET,REG,Veterinary drug,"556.410, 520.1422",,,,
Microcapsules,MISC,REG,Miscellaneous,172.23,,,,
Microcrystalline cellulose,MISC,FS,Miscellaneous,,,,,
Microparticulated protein product,MISC,GRAS,Miscellaneous,184.1498,,,,
Milk Clotting Enzymes,,,,173.15,,,,
Mimosa (black wattle) flowers,FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
"Mineral oil, white (Use limitations include all petroleum hydrocarbons that may be used in combination with white mineral oil)",AF,REG,Antifoaming agent,"173.340, 172.878, 173.3",,,,
Mixed Carbohydrase and Protease enzyme product,ENZ,GRAS,Enzyme,184.1027,,,,
Modified Hop Extract,FLAV,REG,Flavoring agent,172.56,,,,
Molasses (extract),ESO,GRAS,Essential oil,182.2,,,,
Molecular sieve resins,MISC,REG,Miscellaneous,173.4,,,,
"Monensin, monensin sodium","FEED, VET",REG,"Feed additive, veterinary drug","556.420, 558.355, 558.1448b, 520.1448a, 558.355, 558.340",,,,
Monoammonium glutamate,MISC,GRAS,Miscellaneous,182.15,,,,
Monobutyl esters of polyethylene-polypropylene glycol produced by random condensation of a 1:1 mixture by weight of ethylene oxide & propylene oxide with butanol,BC,REG,Boiler water additive,173.31,,,,
Monocalcium phosphate (calcium phosphate monobasic),B&N,GRAS/FS,"Buffer, neutralizing agent","182.1217, 182.5217, 182.6215, 182.8217, 136, 137, 150",,,,
Monochloracetic acid,PRES,BAN,Preservative,189.155,,,,
Monoester of alpha -hydro -omega -hydroxy -poly (oxyethylene)poly (oxypropylene) poly (oxyethylene) ((minimum 15 moles) blocked copolymer derived from low erucic acid rapeseed oil,AF,REG,Antifoaming agent,173.34,,,,
Monoethanolamine,MISC,REG,Miscellaneous,173.315,,,,
Monoglyceride citrate,MISC,REG,Miscellaneous,172.832,,,,
"Monoglycerides, distilled",VET,REG,Veterinary drug,526.82,,,,
Monoglycerides of fatty acids,STAB,REG,Stabilizer,172.755,,,,
"Mono- & diglycerides of edible fats or oils, or edible fat-forming fatty acids",MISC,GRAS/FS,Miscellaneous,"184.1505, 166.40, 163, 136",,,,
Monoisopropyl citrate,SEQ,GRAS,Sequestrant,"182.6511, 166",,,,
Monopotassium glutamate,MISC,GRAS,Miscellaneous,"182.1516, 172.320",,,,
"Monopotassium phosphate (potassium phosphate, monobasic)",MISC,GRAS/FS,Miscellaneous,"182.1778, 182.5778, 182.6085, 182.6778, 182.8778, 133, 150, 160.110, 163",,,,
Monosodium glutamate,FLAV,GRAS/FS,Flavoring agent,"182.1, 155, 158.170, 161.190, 169, 172.320, 582.156",,,,
"Monosodium phosphate (sodium phosphate, monobasic)",MISC,GRAS/FS,Miscellaneous,"182.1778, 182.5778, 182.6085, 182.6778, 182.8778, 133, 150, 160.110, 163",,,,
"Monosodium phosphate derivatives of mono- & diglycerides of edible fats or oils, or edible fat-forming fatty acids",EMUL,GRAS,Emulsifier,184.1521,,,,
Morantel Tartrate,FEED/VET,REG,"Feed additive, veterinary drug","556.425, 558.360, 520.1450",,,,
Morpholine,CTG,REG,Component of coating for fruits and vegetables,"172.235, 173.310",,,,
Mullein flowers,FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
Musk (tonquin musk),MISC,GRAS,Miscellaneous,182.5,,,,
"Mustard, brown or black",SP,GRAS,Spice,182.1,,,,
"Mustard, white or yellow",SP,GRAS,Spice,182.1,,,,
Myristic acid,CTG,REG,Component of coating for fruits and vegetables,"172.210, 172.860, 173.340",,,,
"Myristyl alcohol, synthetic",MISC,REG,Miscellaneous,172.864,,,,
Myrj 45 (polyoxyethylene 8-stearate),EMUL,ILL,Emulsifier,,,,,
Myrrh,FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
Myrtle leaves,FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
Naphtha,SOLV,REG,Solvent,73.1,,,,
Narasin,FEED,REG,Feed additive,58.363,,,,
Naringin,ESO,GRAS,Essential oil,182.2,,,,
NDGA,AOX,ILL,Antioxidant,189.165,,,,
Natamycin (pimaricin),FUNG,REG,Fungicide,172.155,,,,
Natural Flavoring Substances,See individual flavoring or go to 172.510 for complete list,,,,,,,
Natural gas,See Combustion product gas,,,173.35,,,,
Neomycin,VET,REG,Veterinary drug,"556.430, 520.455, 520.1484",,,,
Neotame,NNS,REG,Non-nutritive sweetener,172.829,,,,
Nequinate,FEED,REG,Feed additive,"556.440, 558.365",,,,
"Neroli, bigarade",ESO,GRAS,Essential oil,182.2,,,,
Niacin,NUTR/DS,GRAS/FS,"Nutrient, dietary supplement","182.5530, 184.1530, 137",,,,
Niacinamide,NUTR/DS,GRAS/FS,"Nutrient, dietary supplement","182.5535, 184.1535, 137",,,,
Nicotinamide-ascorbic acid complex,DS,REG,Dietary supplement,172.315,,,,
Nicarbazin,FEED,REG,Feed additive,"556.445, 558.366",,,,
Nickel,GRAS,GRAS,,184.1537,,,,
Nisin preparation,MISC,GRAS,Miscellaneous,"184.1538, 133",,,,
Nitarsone,FEED,REG,Feed additive,"556.60, 558.369",,,,
Nitrites (sodium and potassium),"PRES, PS",REG,Preservative,181.34,,,,
Nitrofurazone,VET,BAN,Veterinary drug,,,,,
Nitrogen,MISC,GRAS/FS,Miscellaneous,"184.1540, 582.1540",,,,
Nitrogen oxides,BL,FS,Blowing agent,137,,,,
3-Nitro-4-hydroxyphenylarsonic acid (Roxarsone),FEED,REG,Feed additive,"556.60, 558.530, 558.55, 558.58, 558.76, 558.78, 558.128, 558.376, 558.450, 558.410, 558.680",,,,
Nitroimide w/Sulfanitran,FEED,REG,Feed additive,"556.220, 558.376",,,,
Nitrosyl chloride,BL,FS,Blowing agent,137,,,,
Nitrous oxide,MISC,GRAS,Miscellaneous,184.1545,,,,
Nonanoic acid,SANI,REG,Sanitizing agent,178.101,,,,
alpha-(p-Nonylphenyl)-omega-hydroxypoly(oxyethylene),SANI,REG,Sanitizing agent,,,,,
Nordihydroguaiaretic acid (NDGA),AOX,ILL,Antioxidant,189.165,,,,
Novobiocin,FEED/VET,REG,"Feed additive, veterinary drug","556.460, 556.060, 558.415, 525.1590",,,,
Nutmeg,ESO/SP,GRAS,"Essential oil, spice",182.1,,,,
Nystatin,FEED,REG,Feed additive,"556.470, 558.430",,,,
Oak moss,FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
"Oak, white, chips",FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
"Oak, (English), wood",FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
Oat gum,STAB,GRAS,Stabilizer,"135.30, 133",,,,
Octadecylamine,BC,REG,Boiler water additive,173.31,,,,
Octafluorocyclobutane,MISC,REG,Miscellaneous,173.36,,,,
n-Octanoic (caprylic) acid,MISC,GRAS,Miscellaneous,"184.1025, 182.1025, 172.210, 172.860, 173.315, 178.1010, 186.1025",,,,
1-Octenyl succinic anhydride,MISC,REG,Miscellaneous,"172.892, 178.1010",,,,
n-Octyl alcohol,AF,REG,Antifoaming agent,172.23,,,,
"Octyl alcohol, synthetic",MISC,REG,Miscellaneous,"172.864, 172.280",,,,
Octyldimethylamine and a mixture of n-carboxylic acids,SANI,REG,Sanitizing agent,178.101,,,,
Octyl gallate,PRES,REG,Preservative,166.11,,,,
Oil of sassafras,FL/ADJ,BAN,Flavoring adjuvant,189.18,,,,
"Oil of sassafras, safrole free",FL/ADJ,REG,Flavoring adjuvant,172.58,,,,
Oleandomycin,"FEED, VET",REG,"Feed additive, veterinary drug","556.480, 558.435",,,,
Oleic acid,MISC,REG,Miscellaneous,"172.840, 172.860, 172.863, 172.210, 173.315, 182.70, 182.90",,,,
Oleic acid derived from tall oil fatty acids,MISC,REG,Miscellaneous,"172.862, 172.210, 173.340",,,,
Olestra,REG,REG,,172.867,,,,
Olibanum oil,FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
Onion,ESO,GRAS,Essential oil,182.2,,,,
Opopanax,FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
"Orange-bitter, flowers, peel",ESO,GRAS,Essential oil,182.2,,,,
"Orange-sweet, leaf, flower, peel",ESO,GRAS,Essential oil,182.2,,,,
"Oregano (origanum, Mexican oregano, Mexican sage, origan)",SP,GRAS,Spice,182.1,,,,
Origanum,ESO,GRAS,Essential oil,182.2,,,,
"Ormetoprim (2,4-Diamino-5(6-methylveratryl)pyrimi-dine)",FEED,REG,Feed additive,"556.490, 558.575",,,,
Orris root,FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
Ox bile extract,EMUL,GRAS,Emulsifier,184.156,,,,
Oxides of nitrogen,BL,FS,Blowing agent,137,,,,
Oxfendazol,VET,REG,Veterinary drug,"520.1630, 556.495",,,,
Oxystearin,INH,REG,Inhibitor,"172.818, 169, 173.340",,,,
Oxytetracycline,FEED/VET,REG,"Feed additive, veterinary drug","556.500, 558.450, 558.515, 522.1660, 520.1660a, 520.1660c, 520.1660d",,,,
Ozone,STERL,REG,Sterilizing agent,"184.1563, 173.368",,,,
P-4000 (5-nitro-2-n-propoxyaniline),NNS,ILL,Non-nutritive sweetener,189.175,,,,
Palmarosa,ESO,GRAS,Essential oil,182.2,,,,
Palmitic acid,MISC,REG,Miscellaneous,"172.860, 172.210, 173.340",,,,
Pansy,FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
D-Pantothenamide,NUTR,REG,Nutrient,172.335,,,,
D-Panthothenyl alcohol,NUTR/DS,GRAS,"Nutrient, dietary supplement",182.558,,,,
Papain,MISC,GRAS/FS,Miscellaneous,"184.1585, 137.305, 582.1585",,,,
Paprika,SP/ESO,GRAS,"Spice, essential oil","182.10, 73.340",,,,
Paprika oleoresin,ESO,GRAS,Essential oil,"182.20, 73.345",,,,
Paraffin wax (X-ref: Wax),MISC,REG,Miscellaneous,172.615,,,,
Parsley,SP/ESO,GRAS,"Spice, essential oil",182.2,,,,
Passion flower,FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
Patchouly,FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
Peach kernel (persic oil),NAT,SP/FL/ADJ,Natural,182.4,,,,
Peach leaves,FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
Peanut oil,GRAS,GRAS,,182.7,,,,
Peanut stearine,NAT,SP/FL/ADJ,Natural,182.4,,,,
Pectins (including pectin modified),"EMUL, STAB",GRAS,"Emulsifier, stabilizer","184.1588, 173.385, 145, 150",,,,
Pelargonic acid,MISC,REG,Miscellaneous,173.315,,,,
Penicillin,FEED/VET,REG,"Feed additive, veterinary drug","556.510, 558.55, 558.58, 558.62, 558.76, 558.78, 558.105, 558.274, 558.505, 520.1660, 522.1662",,,,
Penicillium roquefortii,MISC,FS,Miscellaneous,133,,,,
Pennyroyal (American),FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
Pennyroyal (European),FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
Pentaerythritol ester of maleic anhydride modified wood rosin,CTG,REG,Component of coating for fruits and vegetables,172.21,,,,
Pentaerythritol ester of rosin,See Rosin,,,,,,,
"Pepper, black, white",SP/ESO,GRAS,"Spice, essential oil","182.10, 182.20",,,,
"Pepper, cayenne, red",SP,GRAS,Spice,182.1,,,,
Peppermint,SP/ESO,GRAS,"Spice, essential oil","182.10, 182.20",,,,
Pepsin,ENZ,GRAS,Enzyme,"137.305, 582.1585",,,,
Peptones,NUTR/SUPPL,GRAS,"Nutrient, supplement",184.1553,,,,
Peracetic acid,MISC,REG,Miscellaneous,"172.892, 178.1010",,,,
Perfluorohexane,MISC,REG,Miscellaneous,173.342,,,,
Periodic acid,MISC,REG,Miscellaneous,173.357,,,,
Peroxyacetic acid,MISC,REG,Miscellaneous,173.315,,,,
Peroxyacids,REG,REG,,173.37,,,,
Persic oil (see apricot/peach kernel oil),NAT,SP/FL/ADJ,Natural,182.4,,,,
Peruvian balsam,ESO,GRAS,Essential oil,182.2,,,,
"Petigrain (citrus aurantium) lemon, mandarin, or tangerine",ESO,GRAS,Essential oil,182.2,,,,
Petrolatum NF & USP,"FEED, MISC",REG,"Feed additive, miscellaneous","573.720, 172.880, 173.340, 172.615, 172.886, 172.888",,,,
Petroleum hydrocarbons (Synthetic isoparaffinic),MISC,REG,Miscellaneous,"172.882, 173.340, 172.884",,,,
Petroleum naphtha,SOLV,REG,Solvent,"172.210, 172.250",,,,
Petroleum wax,MISC,REG,Miscellaneous,"173.340, 172.615, 172.886, 172.210, 172.888",,,,
"Petroleum wax, synthetic",MISC,REG,Miscellaneous,"172.888, 172.615, 173.340",,,,
"Phenol-formaldehyde, cross-linked, tetraethylenepentamine activated",MISC,REG,Miscellaneous,173.25,,,,
"Phenol-formaldehyde, cross-linked, triethylenetetramine activated",MISC,REG,Miscellaneous,173.25,,,,
"Phenol-formaldehyde, cross-linked, triethylenetetramine and tetraethylenepentamine activated",MISC,REG,Miscellaneous,173.25,,,,
"Phenol-formaldehyde, sulfite-modified, cross-linked",MISC,REG,Miscellaneous,173.25,,,,
"Phenylalanine, (L-form only)",NUTR/DS,REG,"Nutrient, dietary supplement",172.32,,,,
Phosphoric acid,MISC,GRAS/FS,Miscellaneous,"182.1073, 131.144, 133, 178.1010, 582.1073",,,,
Phosphorus oxychloride,MISC,REG,Miscellaneous,172.892,,,,
Pichia pastoris yeast,,,,573.75,,,,
"Pimenta oil, pimenta leaf",ESO,GRAS,Essential oil,182.2,,,,
"Pine, dwarf, needles & twigs",FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
"Pine, scotch, needles & twigs",FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
"Pine, white, bark",FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
"Pine, white oil",FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
Pipsissewa leaves,ESO,GRAS,Essential oil,182.2,,,,
Poloxalene,FEED,REG,Feed additive,"558.464, 520.1840, 558.465, 573.760",,,,
Poly(acrylic acid-co-hypophosphite) sodium salt,BC,REG,Boiler water additive,173.31,,,,
Polyacrylamide,MISC,REG,Miscellaneous,"172.255, 173.315",,,,
"Polyacrylamide resin, modified",MISC,REG,Miscellaneous,173.1,,,,
Poly(alkyl methacrylate),MISC,REG,Miscellaneous,172.886,,,,
Polydextrose,MISC,REG,Miscellaneous,172.841,,,,
Polyethylene,FEED,REG,Feed additive,573.78,,,,
"Polyethylene, mol. wt. 2,000 - 21,000",MISC,REG,Miscellaneous,"172.615, 173.20",,,,
"Polyethylene, oxidized",CTG,REG,Component of coating for fruits and vegetables,172.26,,,,
"Polyethylenimine reaction product with 1,2-dichloroethane",MISC,GRAS,Miscellaneous,173.357,,,,
Polyoxyethylene (600) dioleate,AF,REG,Antifoaming agent,173.34,,,,
Polyoxyethylene (600) monoricinoleate,AF,REG,Antifoaming agent,173.34,,,,
Polyoxyethylene (23) lauryl ether,FEED,REG,Feed additive,520.1846,,,,
Polyethylene glycol,BC,REG,Boiler water additive,"173.310, 173.340, 172.210",,,,
"Polyethylene glycol (mean molecular weight 200 -9,500)",MISC,REG,Miscellaneous,"172.820, 526.820",,,,
Polyethylene glycol (400) dioleate,EMUL,REG,Emulsifier,173.34,,,,
Polyethylene glycol (400) mono- & di- oleate,FEED,REG,Feed additive,573.8,,,,
Polyglycerol esters of fatty acids,EMUL,REG,Emulsifier,"172.854, 166.110, 169",,,,
"Polyisobutylene (minimum molecular weight 1,200-2,500)",MISC,REG,Miscellaneous,172.615,,,,
Polyglyceryl phthalate ester of coconut oil fatty acids,PEST,REG,Pesticide,172.71,,,,
Polymaleic acid and/or its sodium salts,BC,REG,Boiler water additive,"173.310, 173.45",,,,
Polyoxyethylene glycol (400) mono- & di- oleates,EMUL,REG,Emulsifier,573.82,,,,
Polyoxyethylene (23) lauryl ether,FEED,REG,Feed additive,520.1846,,,,
Polyoxyethylene (40) monostearate,AF,REG,Antifoaming agent,173.34,,,,
Polyoxyethylene-polyoxypropylene block polymers (avg molecular weight l900),SANI,REG,Sanitizing agent,178.101,,,,
Polyoxyethylene-polyoxypropylene block polymers (avg molecular weight 2000),SANI,REG,Sanitizing agent,178.101,,,,
Polyoxyethylene-polyoxypropylene block polymers (avg molecular weight 2800),SANI,REG,Sanitizing agent,178.101,,,,
Polyoxyethylene (20) sorbitan monooleate,See Polysorbate 80,60,,,,,,
Polyoxypropylene glycol (Minimum molecular weight 1000),BC,REG,Boiler water additive,173.31,,,,
Polypropylene glycol (Molecular weight 1200-3000),AF,REG,Antifoaming agent,173.34,,,,
Polysorbate 60 (Polyoxyethylene (20) sorbitan monostearate),EMUL,REG,Emulsifier,"172.836, 163, 135, 169, 136, 166, 173.340, 573.840",,,,
Polysorbate 65 (Polyoxyethylene (20) sorbitan tristearate),EMUL,REG,Emulsifier,"172.838, 135, 169, 163, 166, 173.340, 573.840",,,,
Polysorbate 80 (Polyoxyethylene (20) sorbitan monooleate),EMUL,REG,Emulsifier,"172.840, 173.340, 172.623, 573.860",,,,
Polysorbate 80 w/ carrageenan or carrageenan salts,MISC,REG,Miscellaneous,172.623,,,,
Polyvinyl Acetate (molecular weight 2000 minimum),MISC,REG,Miscellaneous,"172.615, 73.1",,,,
Polyvinylpolypyrrolidone,MISC,REG,Miscellaneous,173.5,,,,
"Polyvinylpyrrolidone (avg molecular weight 40,000, except in beer)",MISC,REG,Miscellaneous,"173.55, 173.50, 172.615, 73.1",,,,
Poly(2-vinylpyridine-co-styrene),FEED,CTG,Feed additive,573.87,,,,
Pomegranate,ESO,GRAS,Essential oil,182.2,,,,
Poplar buds,FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
Poppy seed,SP,GRAS,Spice,182.1,,,,
Pot marigold,SP,GRAS,Spice,182.1,,,,
Pot marjoram,SP,GRAS,Spice,182.1,,,,
Potassium acetate,B&N,FS,"Buffer, neutralizing agent",,,,,
Potassium acid tartrate,B&N/MISC,GRAS,"Buffer, neutralizing agent","184.1077, 150, 582.1077",,,,
Potassium alginate,STAB,GRAS,Stabilizer,184.161,,,,
Potassium alum,MISC,FS,Miscellaneous,"137, 133",,,,
Potassium bicarbonate,B&N/MISC,GRAS/FS,"Buffer, neutralizing agent","184.1613, 163, 582.1613",,,,
Potassium bisulfite,PRES,GRAS/FS,Preservative,182.3616,,,,
Potassium bromate,BL,FS,Blowing agent,"137, 136, 172.730",,,,
Potassium bromide,SANI,REG,Sanitizing agent,"178.1010, 173.315",,,,
Potassium caprate,MISC,REG,Miscellaneous,172.863,,,,
Potassium caprylate,MISC,REG,Miscellaneous,172.863,,,,
Potassium carbonate,B&N/MISC,GRAS/FS,"Buffer, neutralizing agent","184.1619, 163, 172.560, 582.1619",,,,
Potassium caseinate,MISC,FS,Miscellaneous,135,,,,
Potassium chloride,MISC,GRAS/FS,Miscellaneous,"184.1622, 150, 166.110, 182.5622",,,,
Potassium citrate,MISC,GRAS/FS,Miscellaneous,"182.1625, 133, 150, 582.1625",,,,
Potassium cyclamate,NNS,ILL,Non-nutritive sweetener,189.135,,,,
Potassium dichloroisocyanurate,SANI,REG,Sanitizing agent,178.101,,,,
Potassium fumarate,REG,REG,,172.35,,,,
Potassium gibberellate,REG,REG,,172.725,,,,
Potassium gluconate,MISC,FS,Miscellaneous,,,,,
Potassium glycerophosphate,"DS, NUTR",GRAS,"Dietary supplement, nutrient","182.5628, 182.8628",,,,
Potassium hydroxide,B&N/MISC,GRAS/FS,"Buffer, neutralizing agent","184.1631, 163, 582.1631",,,,
Potassium hypochlorite,SANI,REG,Sanitizing agent,178.101,,,,
Potassium iodate,BL/DS,GRAS/FS,"Blowing agent, dietary supplement","184.1635, 136, 582.80",,,,
Potassium iodide,NUTR,GRAS,Nutrient,"184.1634, 172.375, 582.80, 178.1010",,,,
Potassium lactate,MISC,GRAS,Miscellaneous,184.1639,,,,
Potassium laurate,MISC,REG,Miscellaneous,172.863,,,,
Potassium metabisulfite,PRES,GRAS/FS,Preservative,182.3617,,,,
Potassium N-methyldithiocarbamate,REG,REG,,173.32,,,,
Potassium myristate,MISC,REG,Miscellaneous,172.863,,,,
Potassium nitrate,MISC,REG,Miscellaneous,172.16,,,,
Potassium nitrite,PRES,PS,Preservative,181.34,,,,
Potassium oleate,MISC,REG,Miscellaneous,172.863,,,,
Potassium palmitate,MISC,REG,Miscellaneous,172.863,,,,
Potassium permanganate,BL,REG,Blowing agent,172.892,,,,
Potassium persulfate,REG,REG,,172.21,,,,
Potassium phosphate (dipotassium phosphate) (dibasic),SEQ,GRAS/FS,Sequestrant,"182.6285, 133",,,,
Potassium phosphate (monobasic),REG,REG,,160.11,,,,
